,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1131.13,0.0,0.0
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,-13.042291950886762,1129.44,-0.14940811400988874,-12.892883836876873
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-34.95225102319236,1198.68,5.971904201992693,-40.92415522518505
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-40.518417462482944,1184.63,4.7297834908454375,-45.24820095332838
4,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,-5.457025920873124,1290.15,14.058507863817596,-19.51553378469072
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,-12.19645293315143,1252.2,10.703455836199192,-22.899908769350624
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-13.23328785811732,1295.43,14.525297711138412,-27.758585569255732
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,-11.377899045020468,1459.68,29.046175063874173,-40.424074108894644
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-5.538881309686224,1447.8,27.995897907402316,-33.53477921708854
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,-12.251023192360169,1338.6,18.341835155994428,-30.592858348354596
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-10.832196452933148,1348.86,19.248892700220114,-30.081089153153265
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-13.969986357435191,1379.93,21.995703411632608,-35.9656897690678
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-52.905866302864936,870.74,-23.020342489369046,-29.88552381349589
13,2009-08-02 05:46:24,1249206384.0,a,0.83,23.22,-36.643929058663026,986.75,-12.764226923518967,-23.879702135144058
14,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,11.296043656207368,1254.05,10.867009097097577,0.42903455910979105
15,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,2.9740791268758624,1275.92,12.80047386242076,-9.826394735544898
16,2013-05-14 00:28:58,1368505738.0,a,44.12,43.04,17.435197817189636,1650.34,45.901885724894555,-28.46668790770492
17,2013-09-06 06:09:52,1378462192.0,a,56.39,47.68,30.095497953615286,1655.17,46.32889234659145,-16.233394392976166
18,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,0.0,1129.44,0.0,0.0
19,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,-3.9988324576765835,1118.38,-0.979246352174524,-3.0195861055020594
20,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,-1.9848219497956794,1181.76,4.632384190395234,-6.6172061401909135
21,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,-4.086398131932278,1190.33,5.391167304150718,-9.477565436082998
22,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,-14.098073555166371,1177.45,4.250779147187986,-18.348852702354357
23,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,-14.27320490367775,1201.72,6.399631675874767,-20.672836579552516
24,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,-19.87740805604203,1191.08,5.457571894035971,-25.334979950078
25,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,-15.061295971978975,1240.12,9.799546677999702,-24.86084264997868
26,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,-8.172796263864557,1423.9,26.07132738348208,-34.24412364734663
27,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,1.4302393461763048,1451.19,28.487569060773478,-27.057329714597174
28,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,13.952130764740225,1514.14,34.06112763847571,-20.108996873735485
29,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,17.746643315820215,1502.56,33.03584077064739,-15.289197454827175
30,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,11.150029188558088,1554.41,37.62661141804789,-26.4765822294898
31,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,-18.155283129013426,1338.6,18.518912027199306,-36.67419515621273
32,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,-73.61354349095154,940.51,-16.727758889361105,-56.88578460159044
33,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,-76.47402218330413,876.07,-22.433241252302025,-54.040780931002104
34,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,-76.21132516053707,870.74,-22.90515653775323,-53.306168622783844
35,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,-69.78984238178634,885.28,-21.61779288851113,-48.17204949327521
36,2009-03-09 18:17:50,1236637070.0,aa,0.672,5.49,-83.97548161120841,676.53,-40.10040373990651,-43.8750778713019
37,2011-09-03 09:21:23,1315056083.0,aa,48.26,12.04,-64.85697606538237,1218.89,7.919854086981163,-72.77683015236353
38,2011-11-02 22:04:47,1320285887.0,aa,50.93,10.7,-68.76824284880327,1237.9,9.60298909193937,-78.37123194074263
39,2011-11-05 21:29:24,1320542964.0,aa,50.93,10.93,-68.09690601284296,1237.9,9.60298909193937,-77.69989510478234
40,2012-01-02 19:42:06,1325551326.0,aa,50.93,8.65,-74.75189725627554,1257.6,11.347216319591997,-86.09911357586753
41,2012-03-09 07:34:06,1331296446.0,aa,54.5,9.77,-71.48277875072971,1370.87,21.376080181328785,-92.8588589320585
42,2012-03-19 02:24:48,1332138288.0,aa,54.5,10.54,-69.23525977816696,1409.75,24.818494120980304,-94.05375389914727
43,2012-05-19 11:51:52,1337442712.0,aa,55.28,8.43,-75.3940455341506,1324.8,17.297067573310656,-92.69111310746126
44,2012-07-29 16:51:57,1343595117.0,aa,56.42,8.45,-75.33566841798014,1360.02,20.415427114322135,-95.75109553230229
45,2012-11-27 11:38:14,1354034294.0,aa,56.51,8.31,-75.74430823117338,1398.94,23.861382632100863,-99.60569086327425
46,2013-01-22 17:52:37,1358895157.0,aa,53.49,9.16,-73.26328079392877,1492.56,32.15044623884402,-105.41372703277278
